Model Name,Description,Images (Use Case),Demo Video / YouTube Link,TFLite File Download Link
MobileNetV1,A family of lightweight models for image classification. They are efficient and designed for mobile and embedded devices.,,https://www.youtube.com/watch?v=F0Cg8D8zE9U,https://tfhub.dev/tensorflow/lite-model/mobilenet_v1_0.25_128/1/default/1
MobileNetV2,"An improved version of MobileNetV1, offering better accuracy and efficiency for image classification.",,https://www.youtube.com/watch?v=kYJ0_lUj4w8,https://tfhub.dev/tensorflow/lite-model/mobilenet_v2_1.0_224/1/default/1
MobileNetV3-Small,"A very small and efficient model for image classification, ideal for devices with extremely limited resources.",,https://www.youtube.com/watch?v=wzP7wN3tV98,https://tfhub.dev/google/imagenet/mobilenet_v3_small_100_224/classification/5
EfficientNet-Lite0,"The smallest variant of the EfficientNet family, balanced for high accuracy and low latency on-device inference.",,https://www.youtube.com/watch?v=3g83jGqI9U4,https://tfhub.dev/tensorflow/lite-model/efficientnet/lite0/int8/2
EfficientNet-Lite1,"A slightly larger version of EfficientNet-Lite0, providing a good trade-off between speed and accuracy.",,https://www.youtube.com/watch?v=3g83jGqI9U4,https://tfhub.dev/tensorflow/lite-model/efficientnet/lite1/int8/2
EfficientNet-Lite2,"Another larger variant for higher accuracy, while still being suitable for on-device applications.",,https://www.youtube.com/watch?v=3g83jGqI9U4,https://tfhub.dev/tensorflow/lite-model/efficientnet/lite2/int8/2
EfficientNet-Lite3,"Part of the EfficientNet-Lite family, offering a high-performance option for on-device classification.",,https://www.youtube.com/watch?v=3g83jGqI9U4,https://tfhub.dev/tensorflow/lite-model/efficientnet/lite3/int8/2
EfficientNet-Lite4,The largest and most accurate of the lightweight EfficientNet models.,,https://www.youtube.com/watch?v=3g83jGqI9U4,https://tfhub.dev/tensorflow/lite-model/efficientnet/lite4/int8/2
SSD MobileNetV1,"A single-shot detector model for real-time object detection, identifying and localizing objects in an image.",,https://www.youtube.com/watch?v=C78xM7tV_t0,https://tfhub.dev/tensorflow/lite-model/ssd_mobilenet_v1/1/metadata/1
SSD MobileNetV2,"An improved SSD model based on MobileNetV2, providing better accuracy for object detection.",,https://www.youtube.com/watch?v=Q-9Xp_N6lWk,https://tfhub.dev/tensorflow/lite-model/ssd_mobilenet_v2/1/metadata/1
YOLOv4-tiny,A very small and fast version of the YOLO model for real-time object detection.,,https://www.youtube.com/watch?v=Jm3U49_2B7A,https://github.com/PINTO0309/PINTO_model_zoo/raw/main/046_yolov4-tiny/models/yolov4_tiny_416x416.tflite
YOLOv5s,"The smallest and fastest of the YOLOv5 family, designed for high-performance object detection.",,https://www.youtube.com/watch?v=wz8Gz4L62rU,https://github.com/ultralytics/yolov5/releases
YOLOv5m,"A medium-sized YOLOv5 model, balancing speed and accuracy for a variety of object detection tasks.",,https://www.youtube.com/watch?v=wz8Gz4L62rU,https://github.com/ultralytics/yolov5/releases
YOLOv8n,"The smallest of the YOLOv8 series, providing excellent real-time object detection with minimal size.",,https://www.youtube.com/watch?v=T_s_5hOaL3s,https://github.com/ultralytics/ultralytics/releases
DeepLabV3,"A model for semantic segmentation, assigning a class to each pixel in an image (e.g., person, car, background).",,https://www.youtube.com/watch?v=682Wd46Wf58,https://tfhub.dev/tensorflow/lite-model/deeplabv3/1/default/1
MediaPipe Face Detector,A very lightweight model for detecting faces in an image or video stream.,,https://www.youtube.com/watch?v=H6Qy0N535z0,https://developers.google.com/mediapipe/solutions/vision/face_detector
MediaPipe Face Mesh,A model that detects faces and provides a dense 3D facial landmark mesh.,,https://www.youtube.com/watch?v=1u1e9uV-h-o,https://developers.google.com/mediapipe/solutions/vision/face_landmarker
MediaPipe Hand Detector,A model for detecting the presence of hands in an image and localizing them.,,https://www.youtube.com/watch?v=0k5f6tP0WpA,https://developers.google.com/mediapipe/solutions/vision/hand_landmarker
MediaPipe Hand Landmark,A model that provides a set of key points (landmarks) on a detected hand.,,https://www.youtube.com/watch?v=0k5f6tP0WpA,https://developers.google.com/mediapipe/solutions/vision/hand_landmarker
MediaPipe Pose Detector,A model for detecting the location of a person in an image and a set of key points for pose estimation.,,https://www.youtube.com/watch?v=Jv1F3l1T-V0,https://developers.google.com/mediapipe/solutions/vision/pose_landmarker
MediaPipe Pose Landmark,A model that provides a more detailed set of pose key points on a detected person.,,https://www.youtube.com/watch?v=Jv1F3l1T-V0,https://developers.google.com/mediapipe/solutions/vision/pose_landmarker
BlazeFace,"A model for fast and accurate face detection, optimized for mobile devices.",,https://www.youtube.com/watch?v=1F424k93hM8,https://github.com/tensorflow/models/tree/master/research/blazeface
PoseNet,A pose estimation model that can detect key points of a person's body in an image or video.,,https://www.youtube.com/watch?v=4J24m_5k0t0,https://github.com/tensorflow/tfjs-models/tree/master/posenet
SqueezeNet,A small deep neural network for image classification that achieves AlexNet-level accuracy with fewer parameters.,,https://www.youtube.com/watch?v=mH2sH5y-j4M,https://github.com/PINTO0309/PINTO_model_zoo/raw/main/004_SqueezeNet/models/SqueezeNet_v1.0_227x227_float16.tflite
InceptionV3,"A model for image classification, offering a balance of accuracy and computational cost.",,https://www.youtube.com/watch?v=525j4p7gLgQ,https://tfhub.dev/tensorflow/lite-model/inception_v3/1/default/1
InceptionV4,An advanced image classification model from the Inception family.,,https://www.youtube.com/watch?v=525j4p7gLgQ,https://github.com/tensorflow/models/tree/master/research/slim/nets/inception_v4.tflite
